developer_name,metacritic_avg,rating_avg,discrepancy_score,game_count,biggest_hit,biggest_miss
Torus Games,34.5,2.74,0.89,2,Carmageddon TDR 2000,Cartoon Network: Battle Crashers
Ultimate Games,62.0,3.83,0.88,1,House Flipper,House Flipper
Med-Art,38.0,2.87,0.88,1,Painkiller: Recurring Evil,Painkiller: Recurring Evil
Small Rockets,58.0,3.67,0.88,1,Sinbad: Legend of the Seven Seas,Sinbad: Legend of the Seven Seas
Ludia,58.0,3.67,0.88,1,Jurassic World Alive,Jurassic World Alive
Tarsier Studios,72.0,4.22,0.86,2,Little Nightmares: The Depths,Little Nightmares II
Perfectly Paranormal,74.0,4.3,0.85,1,Helheim Hassle,Helheim Hassle
P Studio,76.0,4.38,0.85,1,Persona 4: Dancing All Night,Persona 4: Dancing All Night
NCSOFT,65.0,3.94,0.85,2,Lineage 2: The Chaotic Chronicle,Blade & Soul
Luxoflux,60.0,3.74,0.85,1,True Crime: New York City,True Crime: New York City
yeo,64.0,3.9,0.85,1,The friends of Ringo Ishikawa,The friends of Ringo Ishikawa
Light and Shadow Productions,71.0,4.17,0.82,1,CT Special Forces,CT Special Forces
KnowWonder,68.0,4.05,0.82,1,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban
Studio Fizbin,67.0,4.0,0.8,1,Say No! More,Say No! More
Mono Studio,54.0,3.48,0.8,1,INSOMNIA: The Ark,INSOMNIA: The Ark
SCE Cambridge Studio,67.0,3.99,0.78,1,MediEvil I,MediEvil I
Clever's Software Development,25.0,2.31,0.78,1,Terminator 3: War of the Machines,Terminator 3: War of the Machines
Teknopants,78.0,4.42,0.75,1,Samurai Gunn,Samurai Gunn
Xilam,65.0,3.9,0.75,1,Stupid Invaders,Stupid Invaders
Creatures,64.33,3.86,0.72,3,PokePark 2: Wonders Beyond,Detective Pikachu
Granzella,56.0,3.53,0.72,1,Disaster Report 4: Summer Memories,Disaster Report 4: Summer Memories
Stress Level Zero,72.0,4.17,0.72,1,Boneworks,Boneworks
SKIP,67.0,3.96,0.7,2,Chibi-Robo!,Chibi-Robo! Zip Lash
Running With Scissors,50.5,3.3,0.7,6,Postal 2: Apocalypse Weekend,POSTAL
Greenheart Games,68.0,4.0,0.7,1,Game Dev Tycoon,Game Dev Tycoon
Junction Point Studios,73.0,4.2,0.7,1,Epic Mickey,Epic Mickey
Capcom Production Studio 1,68.0,4.0,0.7,1,Mega Man X8,Mega Man X8
